raw_name,normalized_name
N-디메틸-1-데칸아미늄,n-디메틸-1-데칸아미늄
N-디메틸-1-데칸암모늄,n-디메틸-1-데칸암모늄
N-디메틸-1-옥탄아민,n-디메틸-1-옥탄아민
N-아세틸글루코사민,n-아세틸글루코사민
N-아세틸글루코사민분말,n-아세틸글루코사민분말
N-에틸-2-이소프로필-5-메틸시클로헥산카복사마이드,n-에틸-2-이소프로필-5-메틸시클로헥산카복사마이드
N-에틸-P- 멘탄-3-카복사마이드,n-에틸-p-멘탄-3-카복사마이드
"NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)(고시형)",nag(엔에이지n-아세틸글루코사민n-acetylglucosamine)(고시형)
NATURAL MELON FLAVOUR,naturalmelonflavour
NCT유,nct유
NEOHESPERIDINE DC,neohesperidinedc
NUCLEO FROZEN YOPIU GREEK KVS2,nucleofrozenyopiugreekkvs2
NaCl,nacl
Natural,natural
Nerol,nerol
O/R parparika,orparparika
O/R캡시컴,or캡시컴
O/R파프리카,or파프리카
O/S Green YJ,osgreenyj
ONION JUICE CONCENTRATE-BLANCHED NOTE,onionjuiceconcentrate-blanchednote
ORANGE FLAVOR,orangeflavor
ORANGE OIL,orangeoil
Onion flavor,onionflavor
Orange Oil 61504101,orangeoil61504101
Orange peel oil,orangepeeloil
OrangeEssence,orangeessence
P-1570,p-1570
P.G,pg
PALM MCT OIL,palmmctoil
PEF쇼트닝,pef쇼트닝
PEPTONES,peptones
PF-101,pf-101
PK-4,pk-4
PMO,pmo
PMO08,pmo08
POLY ETHYLENE TEREPHTHALATE,polyethyleneterephthalate
POLYGALACTURONASE,polygalacturonase
POLYOXYETHYLENE (20) SORBITAN MONOTRISTEARATE,polyoxyethylene(20)sorbitanmonotristearate
PROPYLENE GLYCOL,propyleneglycol
Paprika extract,paprikaextract
Paste,paste
Patagonian squid,patagoniansquid
Peach Flavor 11611300,peachflavor11611300
Pediococcus acidilactici,pediococcusacidilactici
Pediococcus halophilus,pediococcushalophilus
Pediococcus pentosaceus,pediococcuspentosaceus
Peppermint Oil 11617300,peppermintoil11617300
Peppermint Oil 11804400,peppermintoil11804400
Peppermint Oil 11804500,peppermintoil11804500
Phenethyl alcohol,phenethylalcohol
Phenols,phenols
Phenylethl alcohol,phenylethlalcohol
Pineapple Fl,pineapplefl
Pineapple Fl.DO904128,pineapplefldo904128
Pineapple Flavor 11621400,pineappleflavor11621400
Pineapple sage잎,pineapplesage잎
Pineapple11629600,pineapple11629600
Piperonal,piperonal
Propionibacterium freudenreichii,propionibacteriumfreudenreichii
Propionic acid,propionicacid
Protein-Glutaminase,protein-glutaminase
Psyllium씨앗껍질,psyllium씨앗껍질
Purified palm oil,purifiedpalmoil
QUINOLINE YELLOW,quinolineyellow
RASPBERRY 11802600,raspberry11802600
RAW SUGAR OIL FLAVOUR,rawsugaroilflavour
Raspberry ketone m,raspberryketonem
Raspberry ketone methyl ether,raspberryketonemethylether
Red Cabbage color,redcabbagecolor
